time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
1596289337.587,1078.322349166427,1060.545000000000,1025.909000000000,992.8289332150289,-13.77805106074701,.000000000000000,.000000000000000,-77.42155403054576
1599485944.889,1078.322349166427,1060.545000000000,1025.909000000000,992.8287993881454,-13.77805106074701,.000000000000000,.000000000000000,-77.40334116303356
1603002212.922,1078.322349166427,1060.545000000000,1025.909000000000,992.8286531128175,-13.77805106074701,.000000000000000,.000000000000000,-77.38343612019663
1606870107.758,1078.322349166427,1060.545000000000,1025.909000000000,992.8284933305181,-13.77805106074701,.000000000000000,.000000000000000,-77.36169540636385
1611124792.078,1078.322349166427,1060.545000000000,1025.909000000000,992.8283189130763,-13.77805106074701,.000000000000000,.000000000000000,-77.33796616604218
1615804944.830,1078.322349166427,1060.545000000000,1025.909000000000,992.8281286624970,-13.77805106074701,.000000000000000,.000000000000000,-77.31208617999269
1620953112.857,1078.322349166427,1060.545000000000,1025.909000000000,992.8279213119491,-13.77805106074701,.000000000000000,.000000000000000,-77.28388402282231
1626616097.686,1078.322349166427,1060.545000000000,1025.909000000000,992.8276955282162,-13.77805106074701,.000000000000000,.000000000000000,-77.25317942245208
1632845380.999,1078.322349166427,1060.545000000000,1025.909000000000,992.8274499159560,-13.77805106074701,.000000000000000,.000000000000000,-77.21978386847880
1639697592.642,1078.322349166427,1060.545000000000,1025.909000000000,992.8271830241544,-13.77805106074701,.000000000000000,.000000000000000,-77.18350152128889
1647235025.450,1078.322349166427,1060.545000000000,1025.909000000000,992.8268933552708,-13.77805106074701,.000000000000000,.000000000000000,-77.14413049101655
1655526201.539,1078.322349166427,1060.545000000000,1025.909000000000,992.8265793774435,-13.77805106074701,.000000000000000,.000000000000000,-77.10146453170147
1664646495.237,1078.322349166427,1060.545000000000,1025.909000000000,992.8262395404613,-13.77805106074701,.000000000000000,.000000000000000,-77.05529525105808
1674678818.305,1078.322349166427,1060.545000000000,1025.909000000000,992.8258722959628,-13.77805106074701,.000000000000000,.000000000000000,-77.00541489316532
1685714373.679,1078.322349166427,1060.545000000000,1025.909000000000,992.8254761225003,-13.77805106074701,.000000000000000,.000000000000000,-76.95161978044983
1697853484.591,1078.322349166427,1060.545000000000,1025.909000000000,992.8250495560579,-13.77805106074701,.000000000000000,.000000000000000,-76.89371449193183
1711206506.594,1078.322349166427,1060.545000000000,1025.909000000000,992.8245912265760,-13.77805106074701,.000000000000000,.000000000000000,-76.83151684964032
1725894830.797,1078.322349166427,1060.545000000000,1025.909000000000,992.8240999009515,-13.77805106074701,.000000000000000,.000000000000000,-76.76486377275556
1742051987.421,1078.322349166427,1060.545000000000,1025.909000000000,992.8235745328257,-13.77805106074701,.000000000000000,.000000000000000,-76.69361803674258
1759824859.707,1078.322349166427,1060.545000000000,1025.909000000000,992.8230143193416,-13.77805106074701,.000000000000000,.000000000000000,-76.61767595481406
1779375019.222,1078.322349166427,1060.545000000000,1025.909000000000,992.8224187644956,-13.77805106074701,.000000000000000,.000000000000000,-76.53697592776743
1800880194.688,1078.322349166427,1060.545000000000,1025.909000000000,992.8217877486614,-13.77805106074701,.000000000000000,.000000000000000,-76.45150779276756
1824535887.700,1078.322349166427,1060.545000000000,1025.909000000000,992.8211216030169,-13.77805106074701,.000000000000000,.000000000000000,-76.36132279501955
1850557150.014,1078.322349166427,1060.545000000000,1025.909000000000,992.8204211871056,-13.77805106074701,.000000000000000,.000000000000000,-76.26654393420675
1879180538.560,1078.322349166427,1060.545000000000,1025.909000000000,992.8196879669465,-13.77805106074701,.000000000000000,.000000000000000,-76.16737633003669
1910666265.959,1078.322349166427,1060.545000000000,1025.909000000000,992.8189240902077,-13.77805106074701,.000000000000000,.000000000000000,-76.06411713195547
1945300566.099,1078.322349166427,1060.545000000000,1025.909000000000,992.8181324541168,-13.77805106074701,.000000000000000,.000000000000000,-75.95716438914494
1983398296.253,1078.322349166427,1060.545000000000,1025.909000000000,992.8173167603841,-13.77805106074701,.000000000000000,.000000000000000,-75.84702410778110
2025305799.422,1078.322349166427,1060.545000000000,1025.909000000000,992.8164815514140,-13.77805106074701,.000000000000000,.000000000000000,-75.73431474433714
2071404052.908,1078.322349166427,1060.545000000000,1025.909000000000,992.8156322200712,-13.77805106074701,.000000000000000,.000000000000000,-75.61976809757113
2122112131.743,1078.322349166427,1060.545000000000,1025.909000000000,992.8147749861498,-13.77805106074701,.000000000000000,.000000000000000,-75.50422571288537
2177891018.461,1078.322349166427,1060.545000000000,1025.909000000000,992.8139168321512,-13.77805106074701,.000000000000000,.000000000000000,-75.38862983306997
2239247793.851,1078.322349166427,1060.545000000000,1025.909000000000,992.8130653920266,-13.77805106074701,.000000000000000,.000000000000000,-75.27400808290545
2306740246.780,1078.322349166427,1060.545000000000,1025.909000000000,992.8122287887034,-13.77805106074701,.000000000000000,.000000000000000,-75.16145137046418
2380981945.002,1078.322349166427,1060.545000000000,1025.909000000000,992.8114154189676,-13.77805106074701,.000000000000000,.000000000000000,-75.05208485474358
2462647813.046,1078.322349166427,1060.545000000000,1025.909000000000,992.8106336884466,-13.77805106074701,.000000000000000,.000000000000000,-74.94703238408258
2552480267.895,1078.322349166427,1060.545000000000,1025.909000000000,992.8098917048363,-13.77805106074701,.000000000000000,.000000000000000,-74.84737552032581
2651295968.228,1078.322349166427,1060.545000000000,1025.909000000000,992.8091969432768,-13.77805106074701,.000000000000000,.000000000000000,-74.75410901616740
2759993238.595,1078.322349166427,1060.545000000000,1025.909000000000,992.8085559038348,-13.77805106074701,.000000000000000,.000000000000000,-74.66809540159264
2879560235.998,1078.322349166427,1060.545000000000,1025.909000000000,992.8079737864209,-13.77805106074701,.000000000000000,.000000000000000,-74.59002202981475
3011083933.142,1078.322349166427,1060.545000000000,1025.909000000000,992.8074542120348,-13.77805106074701,.000000000000000,.000000000000000,-74.52036439086481
3155760000.000,1078.322349166427,1060.545000000000,1025.909000000000,992.8069990197382,-13.77805106074701,.000000000000000,.000000000000000,-74.45935955679120
